Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"198","PIDILITIND","Pidilite Industries(Nse)","1579.90","-1.20","-0.08","63","80","70","A","44","Chemicals-Specialty     ",
"199","BIOCON","Biocon (Nse)","415.50","1.65","0.40","62","45","70","A-","46","Medical-Biomed/Biotech  ",
"200","GODREJIND","Godrej Industries","1112.40","1.20","0.11","65","67","70","A-","57","Diversified Operations  ",
"201","GLENMARK","Glenmark Pharms. (Nse)","2213.60","59.60","2.77","76","62","70","D-","60","Medical-Generic Drugs   ",
"202","DELHIVERY","Delhivery","461.10","1.90","0.41","66","35","70","B+","75","Transportation-Logistics",
"203","FIVESTAR","Five Star Business Finance","519.45","0.60","0.12","57","71","70","A","84","Finance-Commercial Loans",
"204","CHOLAFIN","Cholamandalam Inv.& Fin.","1693.40","4.50","0.27","64","87","70","B+","111","Finance-Consumer Loans  ",
"205","JSWINFRA","Jsw Infrastructure Ltd","308.15","0.20","0.06","62","76","69","A-","41","Transportation-Ship     ",
"206","MANKIND","Mankind Pharma Ltd","2414.20","8.20","0.34","59","70","69","B+","48","Medical-Products        ",
"207","EXIDEIND","Exide Industries (Nse)","380.75","-4.10","-1.07","59","41","69","A-","49","Auto/Truck-Original Eqp ",
"208","LUPIN","Lupin (Nse)","2351.60","24.50","1.05","76","97","69","B-","60","Medical-Generic Drugs   ",
"209","REDINGTON","Redington","280.76","8.81","3.24","57","50","69","A+","80","Computer-Hardware/Perip ",
"210","IIFL","Iifl Finance","532.60","3.40","0.64","63","78","69","A","111","Finance-Consumer Loans  ",
"211","BANKINDIA","Bank Of India","146.57","-1.10","-0.74","56","84","69","C+","121","Banks-Money Center      ",
"212","SBIN","State Bank Of India","1035.10","-7.60","-0.73","55","73","69","C-","121","Banks-Money Center      ",
"213","AADHARHFC","Aadhar Housing Finance Ltd","515.10","28.65","5.89","64","85","69","B","125","Finance-Mrtg&Rel Svc    ",
"214","GRAVITA","Gravita India","1721.60","-4.80","-0.28","63","79","68","B","24","Mining-Metal Ores       ",
"215","PFC","Power Finance","431.00","1.70","0.40","60","74","68","B","47","Financial Svcs-Specialty",
"216","IPCALAB","Ipca Laboratories","1585.80","42.20","2.73","72","84","68","A-","60","Medical-Generic Drugs   ",
"217","TMCV","Tata Motors Ltd","402.10","-4.95","-1.22","35","4","68","B","138","Auto Manufacturers      ",
"218","COALINDIA","Coal India (Nse)","451.30","-0.70","-0.15","57","61","66","B","39","Energy-Coal             ",
"219","JINDALSTEL","Jindal Steel Ltd","1137.70","5.80","0.51","64","41","66","D+","50","Steel-Specialty Alloys  ",
"220","PAGEIND","Page Industries","39975.00","-205.00","-0.51","57","57","66","A-","71","Apparel-Clothing Mfg    ",
"221","CANFINHOME","Canfin Homes","885.35","1.65","0.19","68","87","66","B+","111","Finance-Consumer Loans  ",
"222","AAVAS","Aavas Financiers","1471.90","4.30","0.29","54","78","66","A-","111","Finance-Consumer Loans  ",
"223","SCHAEFFLER","Schaeffler India","4329.90","143.90","3.44","62","83","64","B+","29","Metal Proc & Fabrication",
"224","SPLPETRO","Supreme Petrochem","750.25","28.55","3.96","60","43","64","A","44","Chemicals-Specialty     ",
"225","GAIL","Gail (India)","173.90","-2.54","-1.44","50","27","64","C+","59","Utility-Gas Distribution",
"226","SUNPHARMA","Sun Pharm.Industries","1838.30","13.50","0.74","65","83","64","C-","60","Medical-Generic Drugs   ",
"227","DIVISLAB","Divis Laboratories (Nse)","6743.00","-24.00","-0.35","60","45","64","B","60","Medical-Generic Drugs   ",
